"tissue_simple","p_value","median_normal","median_tumor","delta_median","y_pos","y_seg","FDR","label_fdr","stars"
"Cervix",1.66250213486085e-27,6.80990436097255,57.6800370945459,50.8701327335734,280.134868506551,267.237422286971,1.24687660114564e-26,"FDR=1.25e-26","***"
"Bladder",0.0636947832368785,27.1600935592257,35.2500355154766,8.08994195625091,220.38520129238,210.346996084495,0.0796184790460982,"FDR=0.0796","ns"
"Rectum",0.261861915140487,15.0103510986309,18.1997035790668,3.18935248043591,44.3524626966799,42.7324436731536,0.280566337650522,"FDR=0.281","ns"
"Liver",1.50884733413819e-05,8.01015949844485,10.9098799157226,2.89972041727776,61.0024654950484,58.2074439623865,2.8290887515091e-05,"FDR=2.83e-05","***"
"Brain",1.11228292093246e-09,7.03005911648907,5.63994352155042,-1.39011559493865,135.085515051,128.831556020861,2.78070730233115e-09,"FDR=2.78e-09","***"
"Thyroid",0.00126014929473691,33.8898099086236,32.3601318211541,-1.52967808746958,126.824430066924,120.952928674936,0.00189022394210536,"FDR=0.00189","**"
"Kidney",0.204674403236245,21.8701012761639,20.3099788103295,-1.56012246583439,106.42338730537,101.496378633825,0.236162772964898,"FDR=0.236","ns"
"Colon",0.00101215959071075,24.2704134841648,21.1700304178961,-3.10038306626869,95.4518205009473,91.0327547370146,0.00168693265118458,"FDR=0.00169","**"
"Skin",0.0050001854355111,38.7206748113339,32.870120960773,-5.85055385056085,94.3047089814301,90.1206974636321,0.00681843468478787,"FDR=0.00682","**"
"Breast",2.19637587921722e-12,29.810435181253,21.739405759591,-8.07102942166203,138.59553024235,132.279533106193,6.58912763765167e-12,"FDR=6.59e-12","***"
"Prostate",1.51222859007439e-23,25.2493732207967,15.6903897890889,-9.55898343170784,90.0115279464815,85.9165500809332,7.56114295037196e-23,"FDR=7.56e-23","***"
"HeadNeck",0.397176652198155,94.0510939043035,84.005720183852,-10.0453737204515,294.10873894897,280.831951130151,0.397176652198155,"FDR=0.397","ns"
"Lung",5.00049232950189e-07,51.009880511421,39.4492139807216,-11.5606665306994,440.336593892735,419.950640471775,1.07153407060755e-06,"FDR=1.07e-06","***"
"Uterus",4.00357406533146e-19,41.3212465549447,21.3703941865193,-19.9508523684255,139.026199737218,132.772209654107,1.5013402744993e-18,"FDR=1.5e-18","***"
"Ovary",3.06434255965325e-30,45.1793800586692,16.6649609888691,-28.5144190698001,128.219282364226,122.283204476994,4.59651383947987e-29,"FDR=4.6e-29","***"
