CAR_clean,Cytotoxicity,Activation,Proliferation,NKG2DL score
CD357-CD79B,1.5568666639826436,-0.5309215641690476,0.9143142661681574,1.676223707431136
CD4-FCGR2A,0.8517617587511335,0.11377081060445739,0.9228553426734256,1.4515369843039716
TIM1-FCER1G,-0.8224237584724523,-0.3789414616976792,-0.26349332431509137,1.1353550115470672
HVEM-CD79B,-0.3787755750944092,0.2265651533800352,0.41978322050541517,0.342919431245362
4-1BB-CD79A,-0.9145727320303341,0.6544522748292587,0.9350977479437673,0.3110438748725931
Unstim CD28-CD3Z,0.24227196796709852,-1.1607223132422455,-1.9550326578173214,0.030695204925267252
TIM1-CD3G,-0.03969019942176652,-0.30119933667478,-0.2692139586725122,0.0010890524945942222
CD4-K1,0.17490790473771473,1.1949103461578883,0.49278923713447886,-0.31642743508847654
CD223-FCER1G,0.05985883916061374,0.04761849135876125,-0.8252705384314705,-0.5195069051332571
CD30-CD79B,0.11788828327510166,0.7787596057324441,0.10061449694079153,-0.544469461243625
TIM1-CD79B,-0.05237080806506518,-0.8554626644857606,0.8233931358231679,-0.6012970036587656
4-1BB-FCER1G,-0.4077035125168216,0.322535310972068,0.06860102656328033,-0.7256390531410563
CD223-CD79B,-0.38801883227345696,-0.1113646527653999,-1.3644379945160883,-2.241523408554811
