TF	High	Low	log2FC_High_vs_Low	diff_High_minus_Low	Regulation
HOXA11	0.000205768778506357	1.18178539765205e-05	4.12197260770178	0.000193950924529837	Higher in High / Lower in Low
HOXA10	0.000257534420939293	1.80133536464717e-05	3.83761911482101	0.000239521067292822	Higher in High / Lower in Low
HOXB9	0.000195267413437128	1.36874018634761e-05	3.83452088246295	0.000181580011573651	Higher in High / Lower in Low
HOXB6	0.000190107833410415	1.56230051371961e-05	3.6050656115818	0.000174484828273219	Higher in High / Lower in Low
HOXB3	7.91990311633674e-05	6.93084596834564e-06	3.5143604268548	7.22681851950218e-05	Higher in High / Lower in Low
HOXB4	0.000163559973929838	1.59514524353837e-05	3.35805187832391	0.000147608521494454	Higher in High / Lower in Low
HOXB5	0.000222193149192494	2.31195875407609e-05	3.2646211793059	0.000199073561651733	Higher in High / Lower in Low
HOXB8	0.000213476713053114	2.40891823073695e-05	3.14761606185539	0.000189387530745745	Higher in High / Lower in Low
TWIST2	8.88778683013776e-05	1.19846040151948e-05	2.89063155857534	7.68932642861828e-05	Higher in High / Lower in Low
ALX1	7.76361080735646e-05	1.07422122548405e-05	2.85342509219905	6.68938958187242e-05	Higher in High / Lower in Low
IRX4	7.73400130320427e-05	1.11572568483729e-05	2.79322157633413	6.61827561836698e-05	Higher in High / Lower in Low
GBX2	0.000320141950431685	4.68662615664393e-05	2.77208748453345	0.000273275688865246	Higher in High / Lower in Low
ZFHX4	8.76365403274108e-05	1.29543476543542e-05	2.75808667378897	7.46821926730566e-05	Higher in High / Lower in Low
ONECUT3	0.000148406181088963	2.28633896567558e-05	2.69843462914503	0.000125542791432207	Higher in High / Lower in Low
HOXD8	0.000180682221291422	2.87922048422826e-05	2.64970016654376	0.000151890016449139	Higher in High / Lower in Low
HOXC8	0.000133818387284531	2.14537019148729e-05	2.64097219956867	0.000112364685369658	Higher in High / Lower in Low
NKX1-2	5.16316306328959e-05	8.37701509870276e-06	2.62373255539279	4.32546155341931e-05	Higher in High / Lower in Low
HOXC10	0.00025692397274119	4.228932084275e-05	2.60297336345023	0.00021463465189844	Higher in High / Lower in Low
OVOL1	0.000156117533370179	2.64572976497179e-05	2.56089042765936	0.000129660235720461	Higher in High / Lower in Low
HOXA7	0.000158210795697245	2.80687018783751e-05	2.49480957042921	0.00013014209381887	Higher in High / Lower in Low
HOXC6	0.000117410261897805	2.16822370333863e-05	2.4369675659798	9.57280248644188e-05	Higher in High / Lower in Low
MSX2	9.74895997398178e-05	1.81474314991182e-05	2.42547647884503	7.93421682406996e-05	Higher in High / Lower in Low
HOXA9	0.000680726076849813	0.000132393345660811	2.36224288753104	0.000548332731189002	Higher in High / Lower in Low
GLI2	0.000936067234529879	0.000190481534253031	2.29696040804154	0.000745585700276848	Higher in High / Lower in Low
HES2	0.000349732689052452	7.4454386788298e-05	2.23182236519018	0.000275278302264154	Higher in High / Lower in Low
HOXA13	0.000477093398000679	0.000102565368435303	2.21772693627738	0.000374528029565376	Higher in High / Lower in Low
ZNF385D	0.000102171586055474	2.2474355235555e-05	2.18463739882271	7.96972308199191e-05	Higher in High / Lower in Low
PRRX2	0.000300672779307332	6.78993861840123e-05	2.14672218037941	0.00023277339312332	Higher in High / Lower in Low
TBX18	0.000416714457253545	9.43258673509292e-05	2.14333260350934	0.000322388589902616	Higher in High / Lower in Low
FOXF2	0.00020744683554891	4.84535677952453e-05	2.09806456305103	0.000158993267753665	Higher in High / Lower in Low
