gene	MCL_cluster	color
ARNT2	9	#b28300
ARNTL	23	#75d3ef
ATF1	4	#ff9065
ATF2	4	#ff9065
ATF3	6	#ffac65
ATF4	4	#ff9065
ATF6	50	#ef7597
ATF6B	4	#ff9065
ATF7	2	#ff7465
BACH1	11	#75ef84
BATF3	2	#ff7465
CEBPB	6	#ffac65
CEBPD	6	#ffac65
CLOCK	23	#75d3ef
CREB1	4	#ff9065
CREB3	4	#ff9065
CREB3L1	4	#ff9065
CREB3L4	4	#ff9065
CXXC5	13	#75ef9a
DDIT3	50	#ef7597
EBF1	6	#ffac65
ELK1	2	#ff7465
EOMES	7	#b26200
EPAS1	9	#b28300
ESR1	13	#75ef9a
ETS1	46	#ef75c4
FOS	2	#ff7465
FOSB	2	#ff7465
FOSL1	2	#ff7465
FOSL2	2	#ff7465
FOXG1	47	#ef75b9
FOXH1	7	#b26200
GATA3	12	#75ef8f
GTF2B	7	#b26200
HOXA1	42	#ed75ef
HOXA9	21	#75eaef
HOXB1	42	#ed75ef
JDP2	2	#ff7465
JUN	2	#ff7465
JUNB	2	#ff7465
KLF4	21	#75eaef
KLF6	18	#75efd3
LHX2	45	#ef75cf
LMX1B	39	#cb75ef
MAFF	41	#e275ef
MAFG	11	#75ef84
MAFK	11	#75ef84
MECOM	17	#75efc8
MECP2	47	#ef75b9
MYB	6	#ffac65
MYBL2	51	#ef758b
NFE2	11	#75ef84
NR4A3	17	#75efc8
PBX1	21	#75eaef
RUNX1	17	#75efc8
SALL4	8	#ffc865
SOX14	8	#ffc865
SOX2	8	#ffc865
SP1	18	#75efd3
TBP	7	#b26200
TFAP2A	51	#ef758b
HIF1A	9	#b28300
NPAS2	23	#75d3ef
JUND	2	#ff7465
CREM	4	#ff9065
NFE2L2	52	#ef7580
KLF5	6	#ffac65
TBPL2	7	#b26200
HIF3A	9	#b28300
TFAP2C	13	#75ef9a
ETS2	46	#ef75c4
TBX21	12	#75ef8f
STAT6	12	#75ef8f
LHX9	45	#ef75cf
PBX3	39	#cb75ef
NFE2L1	41	#e275ef
SOX21	8	#ffc865
SP3	18	#75efd3
