"CAR_Variant","Multinomial_Label","n","frac"
"4-1BB-CD79A","CD4-CM",151,0.665198237885463
"4-1BB-CD79A","CD4-EM",8,0.0352422907488987
"4-1BB-CD79A","CD4-Naive",19,0.0837004405286344
"4-1BB-CD79A","CD8-CM",9,0.039647577092511
"4-1BB-CD79A","CD8-EM",1,0.00440528634361234
"4-1BB-CD79A","CD8-Naive",9,0.039647577092511
"4-1BB-CD79A","CD8-TEMRA",4,0.0176211453744493
"4-1BB-CD79A","Treg",21,0.092511013215859
"4-1BB-CD79A","gdT",5,0.0220264317180617
"4-1BB-FCER1G","CD4-CM",45,0.260115606936416
"4-1BB-FCER1G","CD4-EM",53,0.30635838150289
"4-1BB-FCER1G","CD4-Naive",34,0.196531791907514
"4-1BB-FCER1G","CD8-CM",16,0.092485549132948
"4-1BB-FCER1G","CD8-EM",2,0.0115606936416185
"4-1BB-FCER1G","CD8-Naive",3,0.0173410404624277
"4-1BB-FCER1G","CD8-TEMRA",14,0.0809248554913295
"4-1BB-FCER1G","MAIT",1,0.00578034682080925
"4-1BB-FCER1G","Treg",3,0.0173410404624277
"4-1BB-FCER1G","gdT",2,0.0115606936416185
"CD223-CD79B","CD4-CM",24,0.188976377952756
"CD223-CD79B","CD4-EM",13,0.102362204724409
"CD223-CD79B","CD4-Naive",33,0.259842519685039
"CD223-CD79B","CD8-CM",19,0.149606299212598
"CD223-CD79B","CD8-EM",4,0.031496062992126
"CD223-CD79B","CD8-Naive",19,0.149606299212598
"CD223-CD79B","CD8-TEMRA",2,0.015748031496063
"CD223-CD79B","Treg",13,0.102362204724409
"CD223-FCER1G","CD4-CM",16,0.0883977900552486
"CD223-FCER1G","CD4-EM",13,0.0718232044198895
"CD223-FCER1G","CD4-Naive",23,0.12707182320442
"CD223-FCER1G","CD8-CM",84,0.464088397790055
"CD223-FCER1G","CD8-EM",9,0.0497237569060773
"CD223-FCER1G","CD8-Naive",12,0.0662983425414365
"CD223-FCER1G","CD8-TEMRA",7,0.0386740331491713
"CD223-FCER1G","Treg",14,0.0773480662983425
"CD223-FCER1G","gdT",3,0.0165745856353591
"CD30-CD79B","CD4-CM",27,0.0846394984326019
"CD30-CD79B","CD4-EM",8,0.0250783699059561
"CD30-CD79B","CD4-Naive",41,0.128526645768025
"CD30-CD79B","CD8-CM",146,0.457680250783699
"CD30-CD79B","CD8-EM",16,0.0501567398119122
"CD30-CD79B","CD8-Naive",35,0.109717868338558
"CD30-CD79B","CD8-TEMRA",16,0.0501567398119122
"CD30-CD79B","Treg",25,0.0783699059561129
"CD30-CD79B","gdT",5,0.0156739811912226
"CD357-CD79B","CD4-CM",5,0.0454545454545455
"CD357-CD79B","CD4-EM",4,0.0363636363636364
"CD357-CD79B","CD4-Naive",5,0.0454545454545455
"CD357-CD79B","CD8-CM",17,0.154545454545455
"CD357-CD79B","CD8-EM",40,0.363636363636364
"CD357-CD79B","CD8-Naive",4,0.0363636363636364
"CD357-CD79B","CD8-TEMRA",32,0.290909090909091
"CD357-CD79B","Treg",1,0.00909090909090909
"CD357-CD79B","gdT",2,0.0181818181818182
"CD4-FCGR2A","CD4-CM",3,0.0214285714285714
"CD4-FCGR2A","CD4-EM",3,0.0214285714285714
"CD4-FCGR2A","CD4-Naive",4,0.0285714285714286
"CD4-FCGR2A","CD8-CM",80,0.571428571428571
"CD4-FCGR2A","CD8-EM",22,0.157142857142857
"CD4-FCGR2A","CD8-Naive",8,0.0571428571428571
"CD4-FCGR2A","CD8-TEMRA",3,0.0214285714285714
"CD4-FCGR2A","MAIT",1,0.00714285714285714
"CD4-FCGR2A","Treg",1,0.00714285714285714
"CD4-FCGR2A","gdT",15,0.107142857142857
"CD4-K1","CD4-CM",8,0.043010752688172
"CD4-K1","CD4-EM",7,0.0376344086021505
"CD4-K1","CD4-Naive",10,0.0537634408602151
"CD4-K1","CD8-CM",109,0.586021505376344
"CD4-K1","CD8-EM",7,0.0376344086021505
"CD4-K1","CD8-Naive",18,0.0967741935483871
"CD4-K1","CD8-TEMRA",2,0.010752688172043
"CD4-K1","MAIT",2,0.010752688172043
"CD4-K1","Treg",14,0.0752688172043011
"CD4-K1","gdT",9,0.0483870967741935
"HVEM-CD79B","CD4-CM",25,0.128205128205128
"HVEM-CD79B","CD4-EM",68,0.348717948717949
"HVEM-CD79B","CD4-Naive",13,0.0666666666666667
"HVEM-CD79B","CD8-CM",69,0.353846153846154
"HVEM-CD79B","CD8-EM",2,0.0102564102564103
"HVEM-CD79B","CD8-Naive",7,0.0358974358974359
"HVEM-CD79B","CD8-TEMRA",1,0.00512820512820513
"HVEM-CD79B","MAIT",1,0.00512820512820513
"HVEM-CD79B","Treg",6,0.0307692307692308
"HVEM-CD79B","gdT",3,0.0153846153846154
"TIM1-CD3G","CD4-CM",21,0.169354838709677
"TIM1-CD3G","CD4-EM",10,0.0806451612903226
"TIM1-CD3G","CD4-Naive",22,0.17741935483871
"TIM1-CD3G","CD8-CM",39,0.314516129032258
"TIM1-CD3G","CD8-EM",4,0.032258064516129
"TIM1-CD3G","CD8-Naive",15,0.120967741935484
"TIM1-CD3G","CD8-TEMRA",9,0.0725806451612903
"TIM1-CD3G","MAIT",1,0.00806451612903226
"TIM1-CD3G","gdT",3,0.0241935483870968
"TIM1-CD79B","CD4-CM",23,0.0104025327905925
"TIM1-CD79B","CD4-EM",28,0.0126639529624604
"TIM1-CD79B","CD4-Naive",177,0.0800542740841248
"TIM1-CD79B","CD8-CM",993,0.449118046132972
"TIM1-CD79B","CD8-EM",14,0.00633197648123021
"TIM1-CD79B","CD8-Naive",637,0.288104929895975
"TIM1-CD79B","CD8-TEMRA",306,0.138398914518318
"TIM1-CD79B","MAIT",2,0.000904568068747173
"TIM1-CD79B","Treg",7,0.00316598824061511
"TIM1-CD79B","gdT",24,0.0108548168249661
"TIM1-FCER1G","CD4-CM",65,0.389221556886228
"TIM1-FCER1G","CD4-EM",44,0.263473053892216
"TIM1-FCER1G","CD4-Naive",25,0.149700598802395
"TIM1-FCER1G","CD8-CM",8,0.0479041916167665
"TIM1-FCER1G","CD8-EM",2,0.0119760479041916
"TIM1-FCER1G","CD8-Naive",6,0.0359281437125748
"TIM1-FCER1G","CD8-TEMRA",4,0.0239520958083832
"TIM1-FCER1G","Treg",13,0.0778443113772455
