"CAR_Variant","n_cells"
"TIM1-CD79B",2211
"CD30-CD79B",319
"4-1BB-CD79A",227
"HVEM-CD79B",195
"CD4-K1",186
"CD223-FCER1G",181
"4-1BB-FCER1G",173
"TIM1-FCER1G",167
"CD4-FCGR2A",140
"CD223-CD79B",127
"TIM1-CD3G",124
"CD357-CD79B",110
"CD150-CD3D",99
"4-1BB-LMP2",98
"4-1BB-CD79B",96
"TIM1-K1",91
"CD28-FCGR2A",78
"FCRL6-CD3G",78
"CD30-CD3D",72
"TIM1-CD3D",61
"CD223-CD79A",59
"CD244-FCGR2A",53
"4-1BB-FCGR2A",52
"TIM1-DAP12",52
"FCRL6-CD3D",51
"4-1BB-CD3D",50
"FCRL6-DAP12",49
"FCRL6-CD79A",48
"CD223-CD3D",45
"CD226-CD3D",45
"4-1BB-CD3G",42
"FCRL6-FCGR2A",42
"CD4-FCER1G",37
"CD223-DAP12",34
"CD244-FCER1G",34
"CD244-K1",34
"CD30-CD79A",34
"CD84-CD79B",34
"FCRL6-K1",34
"FCRL6-CD79B",33
"CD223-K1",31
"FCRL1-CD3E",31
"CD150-FCGR2A",30
"CD30-FCER1G",30
"TIM1-CD79A",30
"CD223-CD3G",29
"CD226-CD79A",29
"FCRL1-FCER1G",28
"CD28-CD79A",26
"CD30-FCGR2A",26
"FCRL1-CD79B",26
"FCRL1-GP ",26
"CD150-K1",25
"CD28-CD3D",25
"CD357-FCGR2A",25
"CD244-DAP12",24
"CD28-FCER1G",24
"4-1BB-DAP12",23
"CD150-CD79B",23
"CD150-DAP12",23
"CD244-CD79A",23
"4-1BB-K1",22
"CD28-CD3E",22
"FCRL6-FCER1G",22
"FCRL6-LMP2",22
"CD150-FCER1G",21
"CD28-CD79B",21
"CD244-CD3E",20
"FCRL1-FCGR2A",20
"TIM1-FCGR2A",20
"TIM1-LMP2",20
"CD244-CD3G",18
"HVEM-LMP2",18
"CD150-LMP2",17
"FCRL1-CD3D",17
"4-1BB-CD3Z",16
"CD30-DAP12",14
"4-1BB-CD3E",13
"CD28-GP ",13
"FCRL6-CD3E",13
"CD226-CD79B",12
"CD226-K1",12
"CD244-CD3D",12
"CD28-LMP2",12
"FCRL1-CD3G",12
"FCRL1-K1",12
"CD226-CD3G",11
"CD244-CD79B",11
"CD28-DAP12",11
"CD30-CD3G",11
"CD30-GP ",11
"HVEM-DAP12",11
"CD223-FCGR2A",10
"CD30-LMP2",10
"CD4-CD79A",10
"CD4-CD79B",10
"CD84-FCGR2A",10
"DR3-FCGR2A",10
"HVEM-FCGR2A",10
"CD226-DAP12",9
"CD28-K1",9
"CD30-K1",9
"CD150-CD79A",8
"CD84-CD3G",8
"CD84-K1",8
"CD223-CD3E",7
"CD226-FCER1G",7
"CD4-LMP2",7
"FCRL1-DAP12",7
"CD150-CD3E",6
"CD226-LMP2",6
"HVEM-K1",6
"TIM1-CD3Z",6
"CD226-FCGR2A",5
"CD28-CD3G",5
"CD28-CD3Z",5
"CD84-CD79A",5
"CD226-CD3E",4
"CD357-K1",4
"CD4-CD3G",4
"CD150-CD3G",3
"CD223-LMP2",3
"CD357-DAP12",3
"HVEM-CD3D",3
"HVEM-CD3E",3
"HVEM-CD79A",3
"CD223-CD3Z",2
"CD223-GP ",2
"CD244-LMP2",2
"CD357-CD3D",2
"CD357-CD79A",2
"CD357-FCER1G",2
"CD84-CD3E",2
"CD84-GP ",2
"DR3-CD3G",2
"TIM1-GP ",2
"CD150-GP ",1
"CD30-CD3E",1
"CD30-CD3Z",1
"CD357-CD3E",1
"CD4-CD3Z",1
"CD84-CD3D",1
"CD84-DAP12",1
"DR3-CD79A",1
"DR3-K1",1
"FCRL1-CD3Z",1
"FCRL1-CD79A",1
"FCRL6-CD3Z",1
"HVEM-CD3Z",1
