"CAR_Variant","n_cells","mean_ASA","mean_Proliferation","dominant_TCAT"
"TIM1-FCER1G",167,0.0972288125082994,0.0742016424356587,"CD4_CM"
"CD4-FCGR2A",140,0.0915502227077728,0.111261600324516,"CD8_CM"
"CD223-CD79B",127,0.0903618430521011,0.0441231719985693,"CD4_Naive"
"CD30-CD79B",319,0.0899430394997794,0.0857028362910438,"CD8_CM"
"4-1BB-CD79A",227,0.0886390775845731,0.114446179547954,"CD4_CM"
"4-1BB-FCER1G",173,0.0843113375118748,0.0806732848888052,"CD4_EM"
"CD223-FCER1G",181,0.083247967236853,0.0613484826926099,"CD8_CM"
"HVEM-CD79B",195,0.0804248429358734,0.099822730562487,"CD8_CM"
"CD4-K1",186,0.0802662537509252,0.0934507778212025,"CD8_CM"
"CD357-CD79B",110,0.0793778704611627,0.111438848831643,"CD8_EM"
"TIM1-CD3G",124,0.0764854271701845,0.0726683286924996,"CD8_CM"
"TIM1-CD79B",2211,0.0716900504379671,0.11900058436721,"CD8_CM"
